

Database of gamma-ray burst bulk properties extracted from the on-line
3B catalog in May 1996, with cluster assignments from average-linkage
hierarachical clustering, created by S. Mukherjee.  logP256 was not used 
in clustering, but was added to the database by E. Feigelson in October 1997.


SAS #   Clus #  3B cat#   log t50    log t90   logFtot    log H321  log H32  log P256
302       1       3091.    0.6754    0.9764    -5.6805    -0.0396    0.2392   -0.0670
303       1       1039.    0.8744    1.6303    -5.6108    -0.0889    0.2057    0.1408
304       1       1924.    0.8018    1.4242    -5.2520     0.2190    0.4734    0.0671
305       1       907.     2.0330    2.1989    -4.7891     0.1313    0.3731    0.5525
306       1       2530.    1.9117    2.2898    -4.7078     0.0440    0.2984    0.2695
307       1       3134.    0.6695    1.1294    -5.7357    -0.2144    0.1444   -0.2125
308       1       223.     1.3576    1.4651    -6.5458     0.1586    0.4131   -0.3401
309       1       2862.    1.4320    1.6214    -6.4342     0.1527    0.3821   -0.0391
310       1       2061.    1.8642    2.2422    -4.2369     0.5397    0.7000    0.3410
311       1       3042.    2.0007    2.2600    -4.1544     0.4205    0.6345    0.8289
312       1       3085.    0.6191    1.0517    -5.4322     0.0071    0.3195    0.1252
313       1       1733.    0.8706    1.5666    -4.5048     0.5261    0.7231    0.4777
314       1       2984.    1.0710    1.5163    -4.4678     0.5089    0.7093    0.6641
315       1       1467.    0.8631    1.4284    -5.0035     0.1996    0.4691    0.3543
316       1       1087.    1.3478    1.4407    -5.8551     0.0434    0.2915   -0.0711
317       1       1192.    1.4417    1.6257    -5.8911     0.0242    0.2747   -0.2147
318       1       3153.    1.1660    1.5056    -5.2235    -0.2202    0.0835   -0.1267
319       1       660.     0.7407    1.3045    -5.1338     0.3150    0.5151    0.6581
320       1       3130.    0.9523    1.2671    -5.9602    -0.1834    0.0226   -0.2676
321       1       2996.    1.3453    1.7063    -5.3024    -0.3179    0.0517   -0.3799
322       1       3100.    1.2833    1.6556    -5.2581    -0.4163   -0.1228    0.0934
323       1       1148.    1.1754    1.6932    -4.9490     0.5651    0.7300    0.1661
324       1       2780.    1.1828    1.7294    -4.8322     0.7081    0.8450    0.2022
325       1       133.     1.9788    2.2601    -5.2411     0.2106    0.5105   -0.1811  
326       1       2924.    2.0336    2.1370    -5.2579     0.3066    0.3644   -0.1481
